id,name,released,avg_user_rating,user_ratings_count,reviews_count,added,metacritic_rating,avg_playtime,genres,platforms,stores,tags,esrb_rating
3498,Grand Theft Auto V,2013-09-17,4.47,7160,7275,22138,92.0,74,['Action'],"['PC', 'PlayStation 5', 'Xbox Series S/X', 'PlayStation 4', 'PlayStation 3', 'Xbox 360', 'Xbox One']","['Steam', 'PlayStation Store', 'Epic Games', 'Xbox 360 Store', 'Xbox Store']","['Singleplayer', 'Steam Achievements', 'Multiplayer', 'Full controller support', 'Atmospheric', 'Great Soundtrack', 'RPG', 'Co-op', 'Open World', 'cooperative', 'First-Person', 'Third Person', 'Funny', 'Sandbox', 'Comedy', 'Third-Person Shooter', 'Moddable', 'Crime', 'vr mod']",Mature
3328,The Witcher 3: Wild Hunt,2015-05-18,4.64,6964,7077,21799,92.0,43,"['Action', 'RPG']","['Xbox Series S/X', 'PlayStation 5', 'macOS', 'PlayStation 4', 'Nintendo Switch', 'PC', 'Xbox One']","['GOG', 'PlayStation Store', 'Steam', 'Xbox Store', 'Nintendo Store']","['Singleplayer', 'Full controller support', 'Atmospheric', 'Great Soundtrack', 'RPG', 'Story Rich', 'Open World', 'Third Person', 'Fantasy', 'Sandbox', 'Action RPG', 'Dark', 'Nudity', 'controller support', 'Choices Matter', 'Dark Fantasy', 'Mature', 'Medieval', 'Magic', 'Multiple Endings']",Mature
4200,Portal 2,2011-04-18,4.59,5942,5998,20628,95.0,11,"['Shooter', 'Puzzle']","['PlayStation 3', 'PC', 'Xbox 360', 'Linux', 'macOS', 'Xbox One']","['Xbox Store', 'Steam', 'PlayStation Store', 'Xbox 360 Store']","['Singleplayer', 'Steam Achievements', 'Multiplayer', 'Full controller support', 'Steam Cloud', 'Atmospheric', 'steam-trading-cards', 'Co-op', 'Story Rich', 'cooperative', 'First-Person', 'Sci-fi', 'FPS', 'Online Co-Op', 'Funny', 'Female Protagonist', 'Comedy', 'Local Co-Op', 'stats', 'Steam Workshop', 'Space', 'Includes level editor', 'Captions available', 'Commentary available', 'Science']",Everyone 10+
4291,Counter-Strike: Global Offensive,2012-08-21,3.57,3586,3624,18286,81.0,64,['Shooter'],"['PC', 'Linux', 'Xbox 360', 'PlayStation 3']","['PlayStation Store', 'Steam', 'Xbox 360 Store']","['Steam Achievements', 'Multiplayer', 'Full controller support', 'steam-trading-cards', 'Co-op', 'cooperative', 'First-Person', 'FPS', 'Online Co-Op', 'Tactical', 'stats', 'Steam Workshop', 'PvP', 'Moddable', 'War', 'In-App Purchases', 'Realistic', 'Team-Based', 'Fast-Paced', 'Military', 'Competitive', 'Valve Anti-Cheat enabled', 'e-sports', 'Trading']",Mature
5286,Tomb Raider (2013),2013-03-05,4.06,4022,4054,17635,86.0,10,['Action'],"['PlayStation 3', 'Xbox 360', 'macOS', 'PC', 'Xbox One', 'PlayStation 4']","['Xbox 360 Store', 'Steam', 'PlayStation Store', 'Google Play', 'App Store', 'Epic Games']","['Singleplayer', 'Multiplayer', 'Full controller support', 'Atmospheric', 'RPG', 'Third Person', 'Exploration', 'Classic', 'Female Protagonist', 'Stealth', 'Action-Adventure', 'Third-Person Shooter', 'Retro', 'Cinematic', 'Quick-Time Events', 'Dinosaurs', 'Lara Croft']",Mature
13536,Portal,2007-10-09,4.49,4898,4942,17587,90.0,4,"['Action', 'Puzzle']","['macOS', 'PC', 'Android', 'PlayStation 3', 'Xbox 360', 'Linux', 'Nintendo Switch']","['Steam', 'Google Play']","['Singleplayer', 'Steam Achievements', 'Atmospheric', 'Great Soundtrack', 'Story Rich', 'First-Person', 'Sci-fi', 'Partial Controller Support', 'FPS', 'Funny', 'Classic', 'Female Protagonist', 'Comedy', 'Includes level editor', 'Captions available', 'Short', 'Physics', 'Dark Humor', 'Commentary available', 'Includes Source SDK', 'Science']",Teen
12020,Left 4 Dead 2,2009-11-17,4.09,3356,3381,17401,89.0,9,"['Action', 'Shooter']","['Xbox 360', 'Linux', 'PC', 'macOS']","['Steam', 'Xbox 360 Store']","['Singleplayer', 'Steam Achievements', 'Multiplayer', 'Full controller support', 'Steam Cloud', 'steam-trading-cards', 'Co-op', 'cooperative', 'First-Person', 'Horror', 'FPS', 'Online Co-Op', 'Gore', 'Survival', 'Local Co-Op', 'Tactical', 'stats', 'Steam Workshop', 'Zombies', 'Moddable', 'Survival Horror', 'Post-apocalyptic', 'Captions available', 'Replay Value', 'Team-Based', 'Valve Anti-Cheat enabled', 'Commentary available', 'Includes Source SDK']",Mature
5679,The Elder Scrolls V: Skyrim,2011-11-11,4.42,4803,4856,16596,94.0,46,"['Action', 'RPG']","['PC', 'Xbox Series S/X', 'PlayStation 5', 'Xbox One', 'PlayStation 4', 'Nintendo Switch', 'Xbox 360', 'PlayStation 3']","['PlayStation Store', 'Steam', 'Nintendo Store', 'Xbox 360 Store']","['Singleplayer', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'steam-trading-cards', 'Great Soundtrack', 'RPG', 'Story Rich', 'Open World', 'First-Person', 'Third Person', 'Partial Controller Support', 'Fantasy', 'Sandbox', 'Action RPG', 'Steam Workshop', 'role-playing', 'Moddable', 'Character Customization', 'Dark Fantasy', 'Medieval', 'Magic', 'Lore-Rich', 'Dragons']",Mature
28,Red Dead Redemption 2,2018-10-26,4.59,5296,5420,16462,96.0,21,['Action'],"['PC', 'PlayStation 4', 'Xbox One']","['PlayStation Store', 'Epic Games', 'Steam', 'Xbox Store']","['Singleplayer', 'Multiplayer', 'Atmospheric', 'Great Soundtrack', 'Co-op', 'Story Rich', 'Open World', 'First-Person', 'Third Person', 'Partial Controller Support', 'FPS', 'Online Co-Op', 'Gore', 'Exploration', 'Sandbox', 'Violent', 'Third-Person Shooter', 'PvP', 'In-App Purchases', 'Mature', 'Realistic', 'Historical', 'Cinematic', 'Crime', 'Online PvP', '3rd-Person Perspective', 'Blood', 'America', 'Masterpiece', 'Beautiful', 'Hunting', 'Western', '3rd-person']",Mature
4062,BioShock Infinite,2013-03-26,4.38,4122,4164,15967,94.0,12,"['Action', 'Shooter']","['PlayStation 4', 'Xbox 360', 'Nintendo Switch', 'Linux', 'PC', 'PlayStation 3', 'Xbox One']","['Epic Games', 'App Store', 'Xbox Store', 'Nintendo Store', 'PlayStation Store', 'Steam', 'Xbox 360 Store']","['Singleplayer', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Atmospheric', 'steam-trading-cards', 'Great Soundtrack', 'RPG', 'Story Rich', 'First-Person', 'Sci-fi', 'FPS', 'Fantasy', 'Gore', 'Controller', 'Dystopian', 'Linear', 'Steampunk', 'Alternate History', 'Time Travel', 'Political']",Mature
