id,name,avg_user_rating,user_ratings_count,reviews_count,added,avg_playtime,esrb_rating,release_year,release_month,release_quarter,critic_rating,rating_gap,genre_count,is_action,is_adventure,is_arcade,is_board_games,is_card,is_casual,is_educational,is_family,is_fighting,is_indie,is_massively_multiplayer,is_platformer,is_puzzle,is_rpg,is_racing,is_shooter,is_simulation,is_sports,is_strategy,platform_type,platform_count,store_count
3498,Grand Theft Auto V,4.47,7160,7275,22138,74,Mature,2013,9,3,4.6,-0.1299999999999999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,multi_platform,7,5
3328,The Witcher 3: Wild Hunt,4.64,6964,7077,21799,43,Mature,2015,5,2,4.6,0.040000000000000036,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,multi_platform,7,5
4200,Portal 2,4.59,5942,5998,20628,11,Everyone 10+,2011,4,2,4.75,-0.16000000000000014,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,multi_platform,6,4
4291,Counter-Strike: Global Offensive,3.57,3586,3624,18286,64,Mature,2012,8,3,4.05,-0.48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,multi_platform,4,3
5286,Tomb Raider (2013),4.06,4022,4054,17635,10,Mature,2013,3,1,4.3,-0.2400000000000002,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,multi_platform,6,6
13536,Portal,4.49,4898,4942,17587,4,Teen,2007,10,4,4.5,-0.009999999999999787,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,multi_platform,7,2
12020,Left 4 Dead 2,4.09,3356,3381,17401,9,Mature,2009,11,4,4.45,-0.3600000000000003,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,multi_platform,4,2
5679,The Elder Scrolls V: Skyrim,4.42,4803,4856,16596,46,Mature,2011,11,4,4.7,-0.28000000000000025,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,multi_platform,8,4
28,Red Dead Redemption 2,4.59,5296,5420,16462,21,Mature,2018,10,4,4.8,-0.20999999999999996,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,multi_platform,3,4
4062,BioShock Infinite,4.38,4122,4164,15967,12,Mature,2013,3,1,4.7,-0.3200000000000003,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,multi_platform,7,7
13537,Half-Life 2,4.48,3996,4021,15901,7,Mature,2004,11,4,4.8,-0.3199999999999994,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,multi_platform,6,2
802,Borderlands 2,4.01,3261,3281,15868,11,Mature,2012,9,3,4.45,-0.4400000000000004,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,multi_platform,7,6
3439,Life is Strange,4.12,3717,3764,15793,6,Mature,2015,1,1,4.15,-0.03000000000000025,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,multi_platform,9,7
4286,BioShock,4.36,3323,3367,14636,3,Mature,2007,8,3,4.8,-0.4399999999999995,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,multi_platform,4,5
32,Destiny 2,3.52,2648,2674,14542,6,Teen,2017,9,3,4.1,-0.5799999999999996,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,multi_platform,6,4
58175,God of War (2018),4.55,5002,5109,14234,15,Mature,2018,4,2,4.7,-0.15000000000000036,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,multi_platform,2,4
3070,Fallout 4,3.81,3362,3395,14126,38,Mature,2015,11,4,4.2,-0.3900000000000001,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,multi_platform,4,3
3939,PAYDAY 2,3.52,2218,2239,14101,9,Adults Only,2013,8,3,3.95,-0.43000000000000016,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,multi_platform,3,5
1030,Limbo,4.14,3340,3380,14019,3,Teen,2010,7,3,4.4,-0.2600000000000007,5,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,multi_platform,11,9
11859,Team Fortress 2,3.68,2911,2940,13971,8,Mature,2007,10,4,4.6,-0.9199999999999995,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,pc_only,3,1
2454,DOOM (2016),4.38,3575,3614,13907,10,Mature,2016,5,2,4.25,0.1299999999999999,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,multi_platform,4,5
